01,5,6,7,8,15,16,21,22,26,27
02,9,10,11,12,17,18,23,19,28,29
03,1,2,3,4,13,14,19,20,24,25
04,2,3,1,4,14,13,20,19,24,25
05,3,2,1,4,14,13,20,19,25,24
06,2,3,4,1,14,13,19,20,24,25
07,1,3,2,4,13,14,19,20,25,24
08,2,3,4,1,14,13,19,20,24,25
09,2,3,1,4,14,13,20,19,24,25
10,3,2,1,4,14,13,20,19,25,24
11,1,3,2,4,13,14,19,20,25,24
12,2,3,1,4,14,13,20,19,24,25
13,4,3,2,1,13,14,19,20,25,24
14,4,1,2,3,14,13,20,19,24,25
15,3,2,1,4,14,13,20,19,25,24
16,2,3,4,1,14,13,19,20,24,25
17,1,3,2,4,13,14,19,20,25,24
18,1,3,2,4,13,14,19,20,25,24
19,2,3,1,4,14,13,20,19,24,25
20,3,2,1,4,14,13,20,19,25,24
21,1,3,2,4,13,14,19,20,25,24
22,2,3,4,1,14,13,19,20,24,25
23,2,3,1,4,14,13,20,19,24,25
24,3,2,1,4,14,13,20,19,25,24
25,1,3,2,4,13,14,19,20,25,24
26,2,3,1,4,14,13,20,19,24,25
27,4,3,2,1,13,14,19,20,25,24
28,4,1,2,3,14,13,20,19,24,25
29,3,2,1,4,14,13,20,19,25,24
30,2,3,4,1,14,13,19,20,24,25
