01,213,211,214,215,311,312,513,524,516,518
02,222,241,301,342,343,364,525,526,519,520
03,351,363,364,372,386,452,623,513,523,527
04,222,363,301,372,364,311,524,513,527,516
05,241,301,213,215,452,343,513,524,519,520
06,222,213,351,372,364,343,623,513,516,518
07,211,301,342,363,311,452,526,513,519,523
08,214,211,372,351,364,452,513,525,520,523
09,215,241,364,372,452,343,525,513,520,516
10,301,363,211,215,386,452,513,623,527,516
11,342,372,215,214,311,452,623,513,523,520
12,363,222,214,301,311,452,524,526,519,516
13,364,351,222,213,364,312,526,525,520,518
14,372,215,301,213,343,311,623,524,520,518
15,213,211,372,363,386,364,513,623,527,523
16,211,301,372,222,311,386,513,524,516,519
17,215,372,351,241,364,386,526,623,523,527
18,222,351,213,211,343,452,524,525,519,523
19,241,301,213,363,452,343,525,524,518,516
20,351,363,301,342,364,311,623,513,520,518
21,301,372,214,351,386,312,524,513,523,527
22,342,372,215,214,364,343,526,525,518,516
23,372,215,301,213,311,452,524,513,516,518
24,213,211,214,215,386,452,525,524,519,520
25,364,301,214,215,364,312,524,526,527,516
26,222,241,351,363,343,386,525,623,527,519
27,363,351,372,213,452,386,526,623,527,516
28,342,213,222,351,452,311,513,623,520,519
29,364,211,213,215,364,312,513,623,519,523
30,214,241,351,215,343,364,513,525,518,520
 
