01,1,2,3,4,13,14,19,20,24,25
02,5,6,7,8,15,16,21,22,26,27
03,9,10,11,12,17,18,23,19,28,29
04,5,10,7,12,16,13,20,19,29,24
05,6,7,1,4,18,15,19,20,26,27
06,5,1,9,12,16,15,23,19,24,25
07,2,7,8,10,13,18,22,19,26,28
08,3,2,12,9,16,18,19,21,27,28
09,4,6,11,12,18,15,21,19,27,24
10,7,10,2,4,17,18,19,23,29,24
11,8,12,4,3,13,18,23,19,28,27
12,10,5,3,7,13,18,20,22,26,24
13,11,9,5,1,16,14,22,21,27,25
14,12,4,7,1,15,13,23,20,27,25
15,1,2,12,10,17,16,19,23,29,28
16,2,7,12,5,13,17,19,20,24,26
17,4,12,9,6,16,17,22,23,28,29
18,5,9,1,2,15,18,20,21,26,28
19,6,7,1,10,18,15,21,20,25,24
20,9,10,7,8,16,13,23,19,27,25
21,7,12,3,9,17,14,20,19,28,29
22,8,12,4,3,16,15,22,21,25,24
23,12,4,7,1,13,18,20,19,24,25
24,1,2,3,4,17,18,21,20,26,27
25,11,7,3,4,16,14,20,22,29,24
26,5,6,9,10,15,17,21,23,29,26
27,10,9,12,1,18,17,22,23,29,24
28,8,1,5,9,18,13,19,23,27,26
29,11,2,1,4,16,14,19,23,26,28
30,3,6,9,4,15,16,19,21,25,27
 
